class	stat	age	trestbps	chol	thalach	oldpeak
11	mean	54.72727272727273	132.0	239.9090909090909	150.63636363636363	0.5272727272727272
11	std	3.0689056385268403	5.2153619241621145	12.864326997200793	8.7094515013602	0.10090499582190258
12	count	10.0	10.0	10.0	10.0	10.0
12	mean	59.0	145.8	287.1	171.6	1.22
12	std	5.715476066494086	6.762642481555071	7.534365710971747	6.850790708621401	0.17511900715418258
13	count	10.0	10.0	10.0	10.0	10.0
13	mean	38.9	123.0	239.4	187.1	2.8099999999999996
13	std	2.183269719175042	4.8304589153964805	8.30261003138972	5.237683966538393	1.393197760549449
14	count	10.0	10.0	10.0	10.0	10.0
14	mean	48.8	104.6	263.9	120.4	0.8800000000000001
14	std	6.713171133426188	4.718756898449706	11.808189248709278	2.065591117977289	0.1932183566158592
15	count	10.0	10.0	10.0	10.0	10.0
15	mean	60.6	142.2	403.7	153.7	2.5300000000000002
15	std	3.2041639575194445	7.146094504459527	6.750308634919347	2.869378562220978	1.297047930237481
16	count	10.0	10.0	10.0	10.0	10.0
16	mean	42.6	130.0	219.0	172.0	1.26
16	std	2.0655911179772892	0.0	13.5400640077266	3.0550504633038944	0.6186005711819758
17	count	9.0	9.0	9.0	9.0	9.0
17	mean	58.666666666666664	146.66666666666666	188.33333333333334	162.0	2.066666666666667
17	std	1.3228756555322954	5.000000000000001	19.215878850575628	9.041570660012567	0.6999999999999998
18	count	9.0	9.0	9.0	9.0	9.0
18	mean	51.666666666666664	123.33333333333333	248.66666666666666	170.33333333333334	0.8333333333333334
18	std	3.2787192621510006	5.000000000000001	13.45362404707371	6.946221994724899	0.21794494717703372
19	count	9.0	9.0	9.0	9.0	9.0
19	mean	65.0	151.66666666666666	348.6666666666667	152.0	0.8
19	std	0.0	9.013878188659973	64.64711903867024	3.968626966596887	0.0
20	count	9.0	9.0	9.0	9.0	9.0
20	mean	52.0	125.0	274.6666666666667	152.66666666666666	0.5333333333333333
20	std	1.5000000000000002	4.330127018922194	16.9336942218761	3.4999999999999996	0.04999999999999998
21	count	9.0	9.0	9.0	9.0	9.0
